tp,sex,edu,income,pipei
苏提春晓,M,大学及以上,13377,0.755
曲院风荷,M,大学及以上,47534,0.766
平湖秋月,F,初中,48416,0.43
断桥残雪,M,初中,41175,0.768
花港观鱼,F,大学,23203,0.128
柳浪闻莺,F,大学,14486,0.951
三潭印月,F,大学及以上,27432,0.31
双峰插云,F,大学及以上,18366,0.637
雷峰夕照,M,大学,20918,0.238
南屏晚钟,M,大学及以上,35800,0.207
苏提春晓,M,大学及以上,30561,0.938
曲院风荷,M,初中,31759,0.33
平湖秋月,M,高中,18320,0.888
断桥残雪,F,高中,34781,0.209
花港观鱼,F,大学及以上,3294,0.971
柳浪闻莺,F,初中,31441,0.365
三潭印月,F,大学及以上,44362,0.962
双峰插云,F,大学及以上,30287,0.243
雷峰夕照,F,大学及以上,6703,0.331
南屏晚钟,F,大学及以上,44903,0.954
苏提春晓,F,大学,4486,0.39
曲院风荷,M,大学,23112,0.594
平湖秋月,M,大学,40634,0.817
断桥残雪,M,初中,11775,0.993
花港观鱼,F,大学,26167,0.851
柳浪闻莺,F,大学及以上,26754,0.319
三潭印月,F,大学及以上,13880,0.459
双峰插云,M,大学,46205,0.172
雷峰夕照,M,高中,11505,0.966
南屏晚钟,M,初中,21248,0.048
苏提春晓,M,大学,3392,0.924
曲院风荷,F,大学,46534,0.504
平湖秋月,M,大学及以上,17551,0.324
断桥残雪,F,大学,5279,0.529
花港观鱼,M,初中,15861,0.239
柳浪闻莺,M,高中,44936,0.016
三潭印月,F,大学,9719,0.48
双峰插云,F,大学及以上,24605,0.736
雷峰夕照,M,大学,31939,0.048
南屏晚钟,M,大学及以上,41367,0.616
苏提春晓,F,大学,10430,0.401
曲院风荷,F,大学及以上,18552,0.481
平湖秋月,M,大学及以上,8215,0.128
断桥残雪,F,初中,17928,0.96
花港观鱼,F,大学,26894,0.397
柳浪闻莺,F,初中,3459,0.979
三潭印月,M,大学及以上,36860,0.489
双峰插云,M,高中,45824,0.082
雷峰夕照,M,高中,9876,0.686
南屏晚钟,M,初中,41016,0.396
苏提春晓,F,大学,40350,0.073
曲院风荷,F,初中,10009,0.895
平湖秋月,M,大学,5244,0.071
断桥残雪,M,大学及以上,20734,0.703
花港观鱼,M,大学及以上,9491,0.194
柳浪闻莺,M,大学及以上,22403,0.173
三潭印月,M,初中,40303,0.522
双峰插云,M,高中,24412,0.268
雷峰夕照,F,大学及以上,40244,0.205
南屏晚钟,M,大学,8705,0.97
苏提春晓,M,高中,47038,0.938
曲院风荷,F,高中,25093,0.188
平湖秋月,M,高中,37145,0.244
断桥残雪,M,大学,6465,0.125
花港观鱼,F,大学,9762,0.716
柳浪闻莺,F,大学,4305,0.578
三潭印月,M,大学及以上,3840,0.014
双峰插云,M,初中,39625,0.206
雷峰夕照,M,大学及以上,15860,0.451
南屏晚钟,F,大学,13933,0.248
苏提春晓,M,高中,17431,0.961
曲院风荷,F,大学及以上,4763,0.631
平湖秋月,F,大学及以上,10600,0.819
断桥残雪,F,大学,43276,0.186
花港观鱼,M,高中,48324,0.61
柳浪闻莺,M,高中,41910,0.914
三潭印月,M,大学,23928,0.55
双峰插云,F,高中,49494,0.133
雷峰夕照,F,高中,40928,0.74
南屏晚钟,F,高中,13153,0.025
苏提春晓,F,大学,13067,0.378
曲院风荷,M,高中,27149,0.446
平湖秋月,F,大学及以上,4053,0.785
断桥残雪,F,大学,10367,0.192
花港观鱼,M,大学及以上,22615,0.068
柳浪闻莺,M,高中,40160,0.704
三潭印月,F,高中,40379,0.014
双峰插云,M,大学及以上,9146,0.066
雷峰夕照,M,高中,41649,0.775
南屏晚钟,F,初中,46280,0.368
苏提春晓,F,大学及以上,41630,0.224
曲院风荷,M,大学,13972,0.28
平湖秋月,F,初中,23050,0.355
断桥残雪,M,高中,11341,0.138
花港观鱼,M,大学,42873,0.209
柳浪闻莺,M,大学,36634,0.012
三潭印月,M,大学,29837,0.573
双峰插云,F,高中,29572,0.455
雷峰夕照,F,大学,9667,0.005
南屏晚钟,F,高中,27019,0.081
苏提春晓,M,大学,9754,0.055
曲院风荷,M,高中,42516,0.308
平湖秋月,M,大学,27384,0.439
断桥残雪,F,高中,36201,0.462
花港观鱼,F,大学及以上,38176,0.398
柳浪闻莺,F,大学及以上,32410,0.195
三潭印月,F,大学,48762,0.559
双峰插云,F,初中,17205,0.413
雷峰夕照,M,大学及以上,26240,0.948
南屏晚钟,M,大学,43337,0.053
苏提春晓,M,大学及以上,34271,0.348
曲院风荷,F,高中,27885,0.856
平湖秋月,F,高中,4748,0.64
断桥残雪,M,初中,30538,0.831
花港观鱼,M,大学及以上,32635,0.703
柳浪闻莺,M,初中,49103,0.364
三潭印月,F,高中,38441,0.283
双峰插云,M,大学及以上,44708,0.245
雷峰夕照,F,初中,46549,0.241
南屏晚钟,M,高中,25681,0.134
苏提春晓,M,初中,11501,0.284
曲院风荷,M,大学,6994,0.494
平湖秋月,F,大学,45242,0.885
断桥残雪,M,大学,24574,0.539
花港观鱼,F,高中,30757,0.772
柳浪闻莺,F,高中,7393,0.534
三潭印月,M,大学及以上,42834,0.847
双峰插云,M,初中,34403,0.526
雷峰夕照,M,大学,46354,0.738
南屏晚钟,M,高中,33029,0.712
苏提春晓,F,大学,14374,0.622
曲院风荷,F,大学及以上,19037,0.311
平湖秋月,F,大学及以上,47661,0.169
断桥残雪,M,大学,12048,0.291
花港观鱼,F,高中,22660,0.923
柳浪闻莺,F,初中,19676,0.938
三潭印月,F,大学及以上,34467,0.121
双峰插云,F,大学,6808,0.182
雷峰夕照,F,大学,42026,0.253
南屏晚钟,M,大学及以上,13295,0.813
苏提春晓,M,大学,27265,0.983
曲院风荷,F,大学,44183,0.695
平湖秋月,M,高中,34565,0.476
断桥残雪,F,高中,12700,0.084
花港观鱼,M,大学,45305,0.277
柳浪闻莺,F,高中,3544,0.31
三潭印月,M,高中,15791,0.009
双峰插云,M,高中,11006,0.376
雷峰夕照,M,高中,32655,0.882
南屏晚钟,F,大学及以上,46729,0.007
苏提春晓,F,大学及以上,37636,0.813
曲院风荷,F,初中,13246,0.854
平湖秋月,M,大学,27771,0.062
断桥残雪,F,高中,33631,0.047
花港观鱼,F,大学,47750,0.938
柳浪闻莺,M,初中,29296,0.161
三潭印月,F,初中,8817,0.956
双峰插云,F,大学,44260,0.077
雷峰夕照,M,大学,48356,0.404
南屏晚钟,F,大学,15807,0.627
苏提春晓,F,高中,8271,0.468
曲院风荷,M,高中,24802,0.189
平湖秋月,F,大学,21963,0.776
断桥残雪,M,大学,35619,0.371
花港观鱼,F,大学,22679,0.487
柳浪闻莺,F,初中,14862,0.56
三潭印月,M,初中,41370,0.83
双峰插云,M,高中,27417,0.939
雷峰夕照,F,大学及以上,9829,0.905
南屏晚钟,M,初中,49258,0.677
苏提春晓,M,初中,36509,0.101
曲院风荷,M,初中,9132,0.566
平湖秋月,M,初中,22832,0.25
断桥残雪,M,大学及以上,34343,0.809
花港观鱼,M,大学,8907,0.212
柳浪闻莺,M,大学及以上,4510,0.296
三潭印月,F,大学及以上,24685,0.561
双峰插云,F,高中,26231,0.436
雷峰夕照,M,大学及以上,13969,0.621
南屏晚钟,F,初中,46315,0.567
苏提春晓,M,高中,12207,0.571
曲院风荷,F,大学,13976,0.45
平湖秋月,F,大学,22032,0.29
断桥残雪,F,高中,23443,0.71
花港观鱼,M,高中,21085,0.326
柳浪闻莺,M,大学,25240,0.109
三潭印月,M,大学及以上,4334,0.666
双峰插云,F,大学及以上,22219,0.318
雷峰夕照,F,初中,17935,0.44
南屏晚钟,M,大学,46496,0.462
苏提春晓,M,初中,48843,0.394
曲院风荷,F,大学及以上,5768,0.514
平湖秋月,F,大学及以上,41017,0.196
断桥残雪,M,初中,37767,0.995
花港观鱼,F,高中,37557,0.861
柳浪闻莺,M,大学及以上,25419,0.291
三潭印月,M,高中,29619,0.652
双峰插云,F,大学及以上,38778,0.623
雷峰夕照,F,初中,17066,0.215
南屏晚钟,F,高中,14400,0.803
苏提春晓,F,高中,14277,0.178
曲院风荷,M,大学,41763,0.194
平湖秋月,M,高中,38520,0.635
断桥残雪,F,大学及以上,11321,0.371
花港观鱼,M,初中,21167,0.908
柳浪闻莺,F,高中,17213,0.635
三潭印月,M,初中,32460,0.44
双峰插云,F,大学及以上,29637,0.885
雷峰夕照,F,初中,31497,0.79
南屏晚钟,M,大学及以上,27565,0.392
苏提春晓,M,高中,17379,0.745
曲院风荷,M,高中,29068,0.114
平湖秋月,M,大学及以上,23675,0.264
断桥残雪,M,初中,44345,0.133
花港观鱼,M,大学,6894,0.807
柳浪闻莺,M,初中,42798,0.523
三潭印月,M,初中,17380,0.266
双峰插云,M,大学,4720,0.737
雷峰夕照,F,大学及以上,3484,0.948
南屏晚钟,M,初中,14620,0.973
苏提春晓,F,大学及以上,35656,0.972
曲院风荷,M,大学及以上,15364,0.833
平湖秋月,M,高中,36099,0.979
断桥残雪,M,大学,24138,0.637
花港观鱼,M,大学,41723,0.324
柳浪闻莺,F,大学,12702,0.783
三潭印月,F,大学,27647,0.846
双峰插云,M,大学,33163,0.134
雷峰夕照,F,大学,19909,0.083
南屏晚钟,F,大学,29854,0.121
苏提春晓,F,初中,37713,0.029
曲院风荷,M,高中,29853,0.303
平湖秋月,F,大学及以上,45065,0.976
断桥残雪,F,大学,11026,0.48
花港观鱼,M,大学,33430,0.644
柳浪闻莺,M,大学及以上,8738,0.488
三潭印月,M,大学,31578,0.508
双峰插云,F,初中,8385,0.629
雷峰夕照,M,大学及以上,35101,0.228
南屏晚钟,M,高中,16386,0.886
苏提春晓,M,初中,31590,0.091
曲院风荷,F,初中,31142,0.929
平湖秋月,F,高中,17462,0.247
断桥残雪,F,大学及以上,7049,0.281
花港观鱼,M,大学及以上,11412,0.233
柳浪闻莺,M,大学及以上,45489,0.842
三潭印月,M,大学,45380,0.728
双峰插云,F,大学及以上,44696,0.33
雷峰夕照,M,大学及以上,32283,0.208
南屏晚钟,M,大学,30205,0.334
苏提春晓,M,初中,38613,0.181
曲院风荷,M,高中,18527,0.582
平湖秋月,F,初中,19328,0.714
断桥残雪,F,高中,20020,0.723
花港观鱼,M,初中,15885,0.966
柳浪闻莺,F,大学,39432,0.674
三潭印月,M,初中,46468,0.477
双峰插云,M,初中,30956,0.227
雷峰夕照,M,初中,8047,0.369
南屏晚钟,F,高中,36074,0.318
苏提春晓,F,大学,33606,0.539
曲院风荷,M,大学及以上,39331,0.853
平湖秋月,F,初中,38820,0.263
断桥残雪,F,初中,12543,0.417
花港观鱼,M,大学及以上,44908,0.484
柳浪闻莺,F,初中,41931,0.753
三潭印月,F,初中,43517,0.214
双峰插云,M,大学及以上,41272,0.668
雷峰夕照,F,高中,45749,0.955
南屏晚钟,M,大学,15857,0.051
苏提春晓,M,初中,35564,0.127
曲院风荷,M,大学,48250,0.448
平湖秋月,F,高中,5051,0.057
断桥残雪,F,高中,44650,0.872
花港观鱼,F,大学及以上,23377,0.698
柳浪闻莺,F,大学及以上,24184,0.279
三潭印月,M,初中,41358,0.023
双峰插云,F,初中,43523,0.425
雷峰夕照,F,大学及以上,41950,0.887
南屏晚钟,M,初中,39080,0.827
苏提春晓,M,大学及以上,49958,0.282
曲院风荷,F,高中,43246,0.758
平湖秋月,F,高中,36982,0.623
断桥残雪,M,高中,3702,0.18
花港观鱼,F,初中,4943,0.929
柳浪闻莺,M,大学及以上,42827,0.614
三潭印月,M,大学,43040,0.725
双峰插云,M,大学及以上,22212,0.149
雷峰夕照,F,初中,19289,0.44
南屏晚钟,M,初中,49420,0.451
苏提春晓,M,初中,36197,0.829
曲院风荷,F,大学,43824,0.459
平湖秋月,M,大学及以上,30247,0.317
断桥残雪,F,大学,25602,0.353
花港观鱼,F,大学及以上,16757,0.116
柳浪闻莺,M,大学,45025,0.223
三潭印月,F,大学及以上,42788,0.977
双峰插云,M,初中,14778,0.729
雷峰夕照,M,大学及以上,29450,0.757
南屏晚钟,M,大学及以上,14313,0.547
苏提春晓,F,高中,30343,0.652
曲院风荷,F,大学,44010,0.786
平湖秋月,F,高中,34122,0.461
断桥残雪,F,大学,46583,0.107
花港观鱼,M,大学及以上,4161,0.555
柳浪闻莺,M,初中,14184,0.103
三潭印月,M,高中,31766,0.777
双峰插云,F,初中,6940,0.603
雷峰夕照,M,高中,38528,0.506
南屏晚钟,F,初中,39244,0.471
苏提春晓,M,大学及以上,10126,0.807
曲院风荷,M,大学,31480,0.083
平湖秋月,M,高中,5315,0.882
断桥残雪,F,初中,43707,0.78
花港观鱼,F,初中,42301,0.453
柳浪闻莺,F,大学,16242,0.106
三潭印月,M,大学,16041,0.96
双峰插云,F,初中,41315,0.731
雷峰夕照,M,大学,26377,0.749
南屏晚钟,M,高中,31773,0.131
苏提春晓,F,初中,34476,0.546
曲院风荷,F,初中,47129,0.56
平湖秋月,M,高中,29663,0.668
断桥残雪,F,大学,36011,0.105
花港观鱼,M,大学,41885,0.574
柳浪闻莺,M,大学,27435,0.194
三潭印月,M,大学,19929,0.162
双峰插云,M,大学及以上,20452,0.112
雷峰夕照,M,大学及以上,41859,0.487
南屏晚钟,F,大学,8791,0.585
苏提春晓,M,大学及以上,20611,0.546
曲院风荷,F,大学,3207,0.803
平湖秋月,F,大学,29874,0.218
断桥残雪,F,初中,46782,0.518
花港观鱼,M,高中,40596,0.53
柳浪闻莺,F,初中,25269,0.633
三潭印月,M,高中,13004,0.036
双峰插云,M,高中,23840,0.11
雷峰夕照,F,大学,25526,0.403
南屏晚钟,M,大学,21632,0.368
苏提春晓,F,初中,39531,0.506
曲院风荷,M,大学,34410,0.396
平湖秋月,F,大学及以上,9336,0.632
断桥残雪,M,高中,19840,0.655
花港观鱼,F,初中,29370,0.859
柳浪闻莺,M,大学,33855,0.459
三潭印月,M,初中,45723,0.8
双峰插云,M,初中,17095,0.223
雷峰夕照,M,高中,32233,0.824
南屏晚钟,F,高中,43016,0.874
苏提春晓,F,大学,16958,0.716
曲院风荷,F,大学及以上,18206,0.815
平湖秋月,F,大学及以上,17268,0.178
断桥残雪,M,高中,22229,0.963
花港观鱼,F,初中,8969,0.238
柳浪闻莺,F,高中,36649,0.31
三潭印月,F,大学,14642,0.067
双峰插云,F,初中,34943,0.96
雷峰夕照,M,初中,48412,0.82
南屏晚钟,F,大学,4936,0.027
苏提春晓,F,大学及以上,5989,0.645
曲院风荷,F,初中,33773,0.904
平湖秋月,F,初中,31247,0.951
断桥残雪,M,初中,14671,0.1
花港观鱼,F,高中,43124,0.018
柳浪闻莺,F,大学,27068,0.727
三潭印月,M,高中,31567,0.397
双峰插云,M,初中,21201,0.576
雷峰夕照,M,大学,42359,0.643
南屏晚钟,F,初中,13219,0.875
苏提春晓,F,高中,42815,0.823
曲院风荷,M,大学,35807,0.642
平湖秋月,F,大学及以上,10230,0.474
断桥残雪,M,初中,40924,0.08
花港观鱼,M,大学,34191,0.292
柳浪闻莺,M,高中,30857,0.308
三潭印月,F,大学,46137,0.602
双峰插云,M,大学,28059,0.088
雷峰夕照,M,大学及以上,5136,0.709
南屏晚钟,F,大学及以上,16492,0.168
苏提春晓,F,高中,18498,0.915
曲院风荷,F,高中,31590,0.523
平湖秋月,F,初中,43730,0.179
断桥残雪,M,高中,26572,0.415
花港观鱼,M,高中,35100,0.951
柳浪闻莺,M,大学,48048,0.424
三潭印月,M,初中,15042,0.443
双峰插云,F,大学及以上,47921,0.977
雷峰夕照,M,初中,30088,0.66
南屏晚钟,M,大学及以上,18851,0.786
苏提春晓,F,高中,38173,0.377
曲院风荷,F,大学及以上,15531,0.19
平湖秋月,M,大学,8439,0.825
断桥残雪,M,大学,26193,0.057
花港观鱼,F,大学及以上,12902,0.813
柳浪闻莺,M,初中,49050,0.344
三潭印月,M,大学,33087,0.002
双峰插云,F,高中,26356,0.61
雷峰夕照,M,大学及以上,25849,0.834
南屏晚钟,F,大学,40021,0.675
苏提春晓,M,大学,45853,0.985
曲院风荷,F,初中,20024,0.723
平湖秋月,M,大学及以上,9201,0.331
断桥残雪,F,初中,8749,0.79
花港观鱼,F,高中,9530,0.942
柳浪闻莺,F,大学及以上,25023,0.154
三潭印月,F,大学,48037,0.316
双峰插云,F,高中,20910,0.3
雷峰夕照,F,大学及以上,49891,0.794
南屏晚钟,M,大学及以上,36099,0.066
苏提春晓,M,初中,12458,0.266
曲院风荷,F,大学及以上,41565,0.921
平湖秋月,F,大学,19770,0.231
断桥残雪,M,初中,9973,0.143
花港观鱼,M,高中,16760,0.526
柳浪闻莺,F,高中,14356,0.215
三潭印月,F,高中,7197,0.83
双峰插云,M,高中,26833,0.415
雷峰夕照,F,初中,34406,0.297
南屏晚钟,M,大学,38071,0.035
苏提春晓,M,大学及以上,13020,0.609
曲院风荷,M,大学及以上,12101,0.369
平湖秋月,F,大学及以上,6392,0.72
断桥残雪,F,初中,28817,0.418
花港观鱼,M,大学及以上,25767,0.122
柳浪闻莺,F,高中,16806,0.352
三潭印月,M,高中,30608,0.023
双峰插云,M,初中,47589,0.382
雷峰夕照,F,大学,26708,0.669
南屏晚钟,M,初中,16111,0.094
苏提春晓,M,高中,40760,0.709
曲院风荷,F,高中,35501,0.182
平湖秋月,M,大学及以上,21395,0.776
断桥残雪,M,大学及以上,45821,0.979
花港观鱼,F,初中,8717,0.675
柳浪闻莺,F,大学及以上,29809,0.977
三潭印月,M,大学,16582,0.498
双峰插云,M,大学,6755,0.651
雷峰夕照,M,初中,35046,0.845
南屏晚钟,F,大学及以上,12999,0.973
苏提春晓,M,高中,8277,0.109
曲院风荷,M,高中,48909,0.003
平湖秋月,F,初中,48610,0.076
断桥残雪,M,大学,27201,0.543
花港观鱼,M,大学及以上,46566,0.159
柳浪闻莺,M,高中,28761,0.449
三潭印月,F,初中,12453,0.035
双峰插云,M,大学及以上,10290,0.698
雷峰夕照,F,高中,4684,0.098
南屏晚钟,M,大学及以上,24091,0.825
苏提春晓,M,初中,5244,0.652
曲院风荷,M,大学,32930,0.613
平湖秋月,M,初中,19214,0.102
断桥残雪,F,高中,3166,0.573
花港观鱼,F,大学及以上,11608,0.372
柳浪闻莺,M,大学及以上,40905,0.857
三潭印月,M,初中,19397,0.777
双峰插云,F,大学及以上,17572,0.175
雷峰夕照,F,大学,4216,0.017
南屏晚钟,F,初中,42657,0.521
苏提春晓,M,高中,23110,0.567
曲院风荷,M,高中,14372,0.512
平湖秋月,M,大学,6912,0.351
断桥残雪,M,高中,7316,0.129
花港观鱼,M,初中,12838,0.804
柳浪闻莺,M,高中,49713,0.175
三潭印月,F,大学及以上,15599,0.14
双峰插云,M,大学及以上,10904,0.451
雷峰夕照,M,高中,34983,0.008
南屏晚钟,F,大学及以上,33459,0.221
苏提春晓,F,大学及以上,48291,0.56
曲院风荷,M,大学及以上,44453,0.217
平湖秋月,M,初中,22342,0.822
断桥残雪,M,高中,4982,0.055
花港观鱼,M,高中,18492,0.005
柳浪闻莺,M,大学,19357,0.349
三潭印月,M,初中,43724,0.77
双峰插云,M,高中,49196,0.225
雷峰夕照,M,大学,43103,0.964
南屏晚钟,M,高中,17895,0.019
苏提春晓,M,大学及以上,32940,0.881
曲院风荷,M,初中,20869,0.614
平湖秋月,M,高中,23707,0.772
断桥残雪,M,大学及以上,40777,0.362
花港观鱼,M,高中,31496,0.318
柳浪闻莺,F,初中,9444,0.641
三潭印月,M,大学,8646,0.948
双峰插云,F,初中,13023,0.088
雷峰夕照,M,大学及以上,39107,0.28
南屏晚钟,M,大学及以上,4174,0.911
苏提春晓,M,初中,41564,0.932
曲院风荷,M,大学,6302,0.712
平湖秋月,F,大学及以上,5968,0.897
断桥残雪,F,大学,20801,0.087
花港观鱼,M,大学,42708,0.887
柳浪闻莺,F,大学及以上,4402,0.017
三潭印月,M,初中,26526,0.235
双峰插云,M,大学,15366,0.891
雷峰夕照,F,大学,12042,0.55
南屏晚钟,M,初中,20457,0.782
苏提春晓,F,大学,47507,0.861
曲院风荷,F,大学及以上,20048,0.819
平湖秋月,F,初中,6719,0.726
断桥残雪,F,高中,20383,0.507
花港观鱼,F,大学,19323,0.929
柳浪闻莺,M,高中,7916,0.665
三潭印月,M,高中,26353,0.003
双峰插云,M,初中,40223,0.123
雷峰夕照,M,初中,28098,0.283
南屏晚钟,F,大学及以上,33012,0.47
苏提春晓,M,高中,8559,0.903
曲院风荷,M,高中,7363,0.202
平湖秋月,M,初中,45726,0.108
断桥残雪,F,大学及以上,23467,0.219
花港观鱼,F,大学,25397,0.993
柳浪闻莺,M,大学,43085,0.004
三潭印月,F,初中,22971,0.76
双峰插云,F,大学及以上,4626,0.087
雷峰夕照,M,大学及以上,36840,0.62
南屏晚钟,F,大学,32420,0.615
苏提春晓,M,大学,44807,0.076
曲院风荷,F,大学,26459,0.518
平湖秋月,M,大学,16059,0.112
断桥残雪,M,高中,21521,0.322
花港观鱼,M,大学,23730,0.236
柳浪闻莺,F,高中,45958,0.466
三潭印月,M,大学,45894,0.769
双峰插云,M,高中,28561,0.975
雷峰夕照,M,初中,8403,0.863
南屏晚钟,M,初中,23370,0.41
苏提春晓,F,初中,48650,0.372
曲院风荷,F,大学及以上,17933,0.681
平湖秋月,F,大学,14095,0.622
断桥残雪,M,初中,31626,0.58
花港观鱼,F,大学,33748,0.181
柳浪闻莺,F,大学,5731,0.764
三潭印月,F,高中,38247,0.6
双峰插云,M,大学及以上,13356,0.811
雷峰夕照,M,大学,18280,0.502
南屏晚钟,F,高中,31069,0.696
苏提春晓,F,高中,43831,0.819
曲院风荷,M,初中,34343,0.943
平湖秋月,M,初中,43822,0.881
断桥残雪,M,初中,28467,0.591
花港观鱼,M,高中,39658,0.816
柳浪闻莺,F,大学及以上,31896,0.457
三潭印月,F,大学及以上,4116,0.74
双峰插云,F,高中,39763,0.803
雷峰夕照,M,初中,4710,0.557
南屏晚钟,F,高中,12395,0.239
苏提春晓,F,大学及以上,13774,0.556
曲院风荷,M,大学,13498,0.048
平湖秋月,F,大学,42320,0.547
断桥残雪,M,高中,37827,0.509
花港观鱼,F,高中,5754,0.232
柳浪闻莺,M,高中,29833,0.181
三潭印月,F,大学及以上,8045,0.935
双峰插云,F,大学及以上,42074,0.749
雷峰夕照,M,大学,6573,0.313
南屏晚钟,F,大学及以上,14254,0.447
苏提春晓,F,大学及以上,20717,0.303
曲院风荷,F,高中,13931,0.417
平湖秋月,M,初中,35133,0.558
断桥残雪,F,高中,14281,0.159
花港观鱼,M,初中,16273,0.607
柳浪闻莺,M,大学,43300,0.036
三潭印月,M,初中,27564,0.969
双峰插云,M,大学及以上,6004,0.381
雷峰夕照,F,大学及以上,36869,0.863
南屏晚钟,M,大学,14078,0.768
苏提春晓,M,高中,28810,0.318
曲院风荷,F,大学,31334,0.057
平湖秋月,F,大学及以上,46559,0.303
断桥残雪,F,高中,25524,0.864
花港观鱼,M,大学,37488,0.687
柳浪闻莺,M,高中,39375,0.316
三潭印月,M,大学,19518,0.829
双峰插云,F,高中,15253,0.571
雷峰夕照,F,大学及以上,47241,0.577
南屏晚钟,M,高中,20780,0.517
苏提春晓,F,高中,44289,0.671
曲院风荷,M,初中,35051,0.906
平湖秋月,M,大学,11998,0.796
断桥残雪,F,大学及以上,47174,0.405
花港观鱼,M,大学,47125,0.351
柳浪闻莺,F,高中,40821,0.267
三潭印月,M,大学及以上,47696,0.964
双峰插云,F,大学,47913,0.24
雷峰夕照,F,大学,34857,0.356
南屏晚钟,F,高中,26469,0.292
苏提春晓,F,初中,7772,0.211
曲院风荷,F,大学及以上,48629,0.704
平湖秋月,M,大学及以上,40403,0.944
断桥残雪,M,初中,8962,0.444
花港观鱼,M,初中,37947,0.616
柳浪闻莺,M,高中,40963,0.192
三潭印月,M,初中,11528,0.77
双峰插云,M,大学及以上,4530,0.776
雷峰夕照,M,大学,36612,0.924
南屏晚钟,M,高中,42673,0.878
苏提春晓,M,大学及以上,36024,0.222
曲院风荷,M,高中,23639,0.155
平湖秋月,M,大学,41492,0.475
断桥残雪,M,大学及以上,16814,0.41
花港观鱼,M,初中,38597,0.105
柳浪闻莺,F,高中,24195,0.172
三潭印月,M,高中,11257,0.457
双峰插云,M,高中,35506,0.005
雷峰夕照,M,大学及以上,14499,0.475
南屏晚钟,M,高中,38932,0.014
苏提春晓,F,大学,8767,0.717
曲院风荷,F,大学及以上,47146,0.679
平湖秋月,M,初中,8637,0.808
断桥残雪,M,初中,18807,0.064
花港观鱼,M,高中,11686,0.552
柳浪闻莺,M,高中,14408,0.328
三潭印月,F,大学,3391,0.274
双峰插云,F,高中,46785,0.395
雷峰夕照,F,初中,38849,0.448
南屏晚钟,M,高中,13290,0.687
苏提春晓,F,初中,46953,0.252
曲院风荷,M,高中,18794,0.316
平湖秋月,M,初中,4438,0.869
断桥残雪,M,大学,23576,0.271
花港观鱼,F,初中,47414,0.5
柳浪闻莺,M,大学及以上,25235,0.552
三潭印月,F,大学及以上,17831,0.293
双峰插云,F,大学,24663,0.054
雷峰夕照,F,大学,28863,0.658
南屏晚钟,F,大学,43057,0.652
苏提春晓,F,高中,23804,0.6
曲院风荷,F,初中,13987,0.665
平湖秋月,F,高中,43989,0.302
断桥残雪,M,大学及以上,11203,0.663
花港观鱼,F,大学,5952,0.392
柳浪闻莺,F,初中,44119,0.879
三潭印月,M,大学及以上,26671,0.666
双峰插云,F,大学及以上,30285,0.501
雷峰夕照,M,初中,7923,0.854
南屏晚钟,F,初中,37148,0.334
苏提春晓,M,初中,12801,0.437
曲院风荷,F,初中,7496,0.135
平湖秋月,F,大学,47972,0.195
断桥残雪,F,高中,39728,0.218
花港观鱼,M,大学及以上,47050,0.417
柳浪闻莺,F,初中,12551,0.492
三潭印月,M,大学及以上,8380,0.542
双峰插云,M,大学及以上,46173,0.295
雷峰夕照,F,高中,33278,0.472
南屏晚钟,M,初中,41165,0.557
苏提春晓,M,大学及以上,39947,0.993
曲院风荷,M,初中,31594,0.057
平湖秋月,F,大学,29055,0.93
断桥残雪,F,高中,28185,0.35
花港观鱼,F,高中,10628,0.657
柳浪闻莺,F,初中,5027,0.831
三潭印月,F,大学,16838,0.592
双峰插云,F,大学及以上,9297,0.985
雷峰夕照,M,高中,22288,0.972
南屏晚钟,F,大学及以上,13224,0.063
苏提春晓,F,高中,16550,0.381
曲院风荷,M,高中,39918,0.401
平湖秋月,M,初中,16704,0.718
断桥残雪,F,大学及以上,21420,0.605
花港观鱼,F,大学及以上,15031,0.247
柳浪闻莺,M,高中,31906,0.735
三潭印月,F,大学,30103,0.356
双峰插云,F,大学,45143,0.744
雷峰夕照,M,大学及以上,39785,0.799
南屏晚钟,F,高中,7112,0.653
苏提春晓,M,高中,19651,0.859
曲院风荷,F,大学,47393,0.159
平湖秋月,F,大学,23083,0.482
断桥残雪,F,高中,41684,0.643
花港观鱼,M,初中,33159,0.091
柳浪闻莺,F,大学,33008,0.283
三潭印月,F,初中,30739,0.171
双峰插云,M,大学,43763,0.142
雷峰夕照,M,大学及以上,44524,0.312
南屏晚钟,M,大学及以上,22255,0.482
苏提春晓,F,大学,16993,0.755
曲院风荷,F,大学,31323,0.311
平湖秋月,M,初中,28825,0.92
断桥残雪,F,大学,13841,0.538
花港观鱼,M,大学,15751,0.648
柳浪闻莺,M,初中,12050,0.657
三潭印月,F,大学,29726,0.214
双峰插云,M,高中,37467,0.826
雷峰夕照,M,高中,38117,0.853
南屏晚钟,F,大学,3155,0.906
苏提春晓,F,初中,25503,0.624
曲院风荷,M,初中,8629,0.74
平湖秋月,F,大学,49550,0.841
断桥残雪,M,初中,36677,0.812
花港观鱼,F,高中,19250,0.431
柳浪闻莺,F,高中,38918,0.552
三潭印月,F,大学及以上,26740,0.487
双峰插云,F,大学及以上,15602,0.564
雷峰夕照,M,大学及以上,20866,0.388
南屏晚钟,M,初中,48143,0.468
